"sector","Variable","year","value","group","value0","USAGDPDEFAISMEI","label","scaled"
NA,"Total Employement",2012,56929.9434352128,"Extrapolated",52728.534102951,95.7547924993229,"Coastal Employment [thousands]",56.9299434352128
NA,"Total Employement",2015,60575.3105280258,"Extrapolated",56373.901195764,100,"Coastal Employment [thousands]",60.5753105280258
NA,"Total Employement",2018,66004.7773687627,"Extrapolated",61803.3680365009,105.112221863417,"Coastal Employment [thousands]",66.0047773687627
NA,"Total Employement",2013,57007.3154288283,"Extrapolated",52805.9060965665,97.3844273465615,"Coastal Employment [thousands]",57.0073154288283
NA,"Total Employement",2014,58874.6675047738,"Extrapolated",54673.258172512,99.0804906972909,"Coastal Employment [thousands]",58.8746675047738
NA,"Total Employement",2016,62165.1496029598,"Extrapolated",57963.740270698,100.950322501374,"Coastal Employment [thousands]",62.1651496029598
NA,"Total Employement",2017,65119.3048741943,"Extrapolated",60917.8955419325,102.758144170279,"Coastal Employment [thousands]",65.1193048741943
NA,"Total Employement",2011,55863.6532781282,"Extrapolated",51662.2439458664,94.0042733837922,"Coastal Employment [thousands]",55.8636532781282
NA,"Total Industry Output",2012,6315807568.71664,"Extrapolated",5280579955.50336,95.7547924993229,"Coastal Industry Output [billion 2022$]",7.99589711198671
NA,"Total Industry Output",2015,8320927508.34598,"Extrapolated",7285699895.1327,100,"Coastal Industry Output [billion 2022$]",10.087198467809
NA,"Total Industry Output",2018,9998403617.84485,"Extrapolated",8963176004.63157,105.112221863417,"Coastal Industry Output [billion 2022$]",11.5312470157769
NA,"Total Industry Output",2011,5378997553.70605,"Extrapolated",4343769940.49277,94.0042733837922,"Coastal Industry Output [billion 2022$]",6.93669464565236
NA,"Total Industry Output",2013,6542919731.58352,"Extrapolated",5507692118.37024,97.3844273465615,"Coastal Industry Output [billion 2022$]",8.14480901053745
NA,"Total Industry Output",2014,7259599902.56596,"Extrapolated",6224372289.35268,99.0804906972909,"Coastal Industry Output [billion 2022$]",8.88225760790005
NA,"Total Industry Output",2016,8266687183.4476,"Extrapolated",7231459570.23432,100.950322501374,"Coastal Industry Output [billion 2022$]",9.92710511582005
NA,"Total Industry Output",2017,9706715284.61402,"Extrapolated",8671487671.40073,102.758144170279,"Coastal Industry Output [billion 2022$]",11.4513019460413
1,"Total Industry Output",2018,7051886.77489975,"As recorded",7051886.77489975,105.112221863417,"Coastal Industry Output [billion 2022$]",0.00813300317097889
1,"Total Employement",2018,6.699864681,"As recorded",6.699864681,105.112221863417,"Coastal Employment [thousands]",0.006699864681
1,"Total Personal Income",2018,22049288.9163881,"As recorded",22049288.9163881,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0254296392439403
1,"Total Industry Output",2019,6728523.59793615,"As recorded",6728523.59793615,106.876538692045,"Coastal Industry Output [billion 2022$]",0.00763196248437884
1,"Total Employement",2019,6.320261548,"As recorded",6.320261548,106.876538692045,"Coastal Employment [thousands]",0.006320261548
1,"Total Personal Income",2019,18214423.0189629,"As recorded",18214423.0189629,106.876538692045,"Coastal Personal Income [billion 2022$]",0.0206600736598398
1,"Total Industry Output",2020,7158046.75492442,"As recorded",7158046.75492442,108.287966074286,"Coastal Industry Output [billion 2022$]",0.0080133324630495
1,"Total Employement",2020,7.813897223,"As recorded",7.813897223,108.287966074286,"Coastal Employment [thousands]",0.007813897223
1,"Total Personal Income",2020,18278713.3531963,"As recorded",18278713.3531963,108.287966074286,"Coastal Personal Income [billion 2022$]",0.0204627619951179
1,"Total Industry Output",2021,10645607.0997445,"As recorded",10645607.0997445,113.252692384595,"Coastal Industry Output [billion 2022$]",0.0113951678160149
1,"Total Employement",2021,10.16272259,"As recorded",10.16272259,113.252692384595,"Coastal Employment [thousands]",0.01016272259
1,"Total Personal Income",2021,9953362.28058396,"As recorded",9953362.28058396,113.252692384595,"Coastal Personal Income [billion 2022$]",0.01065418181022
1,"Total Industry Output",2022,10417623.4004525,"As recorded",10417623.4004525,121.226851906731,"Coastal Industry Output [billion 2022$]",0.0104176234004525
1,"Total Employement",2022,7.132013241,"As recorded",7.132013241,121.226851906731,"Coastal Employment [thousands]",0.007132013241
1,"Total Personal Income",2022,7370766.31624411,"As recorded",7370766.31624411,121.226851906731,"Coastal Personal Income [billion 2022$]",0.00737076631624411
1,"Total Personal Income",2012,7726492.70568922,"Extrapolated",7726492.7056893,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.00978184342050188
1,"Total Personal Income",2015,18252979.875485,"Extrapolated",18252979.8754851,100,"Coastal Personal Income [billion 2022$]",0.0221275128822197
1,"Total Personal Income",2018,22049288.9163881,"Extrapolated",22049288.9163882,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0254296392439403
1,"Total Personal Income",2011,4486104.42926245,"Extrapolated",4486104.42926253,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.00578522973167404
1,"Total Personal Income",2013,12492782.236383,"Extrapolated",12492782.2363831,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.0155513638405814
1,"Total Personal Income",2014,16846415.668264,"Extrapolated",16846415.668264,99.0804906972909,"Coastal Personal Income [billion 2022$]",0.0206119077832919
1,"Total Personal Income",2016,11556174.1707076,"Extrapolated",11556174.1707077,100.950322501374,"Coastal Personal Income [billion 2022$]",0.0138773069772184
1,"Total Personal Income",2017,18664527.9955751,"Extrapolated",18664527.9955752,102.758144170279,"Coastal Personal Income [billion 2022$]",0.0220191011573665
1,"Total Employement",2012,9.93591636213728,"Extrapolated",9.93815160923539,95.7547924993229,"Coastal Employment [thousands]",0.00993591636213728
1,"Total Employement",2015,6.35026990094821,"Extrapolated",6.35250514804632,100,"Coastal Employment [thousands]",0.00635026990094821
1,"Total Employement",2018,6.699864681,"Extrapolated",6.70209992809811,105.112221863417,"Coastal Employment [thousands]",0.006699864681
1,"Total Employement",2011,7.37832610672229,"Extrapolated",7.38056135382039,94.0042733837922,"Coastal Employment [thousands]",0.00737832610672229
1,"Total Employement",2013,8.62837952266655,"Extrapolated",8.63061476976466,97.3844273465615,"Coastal Employment [thousands]",0.00862837952266655
1,"Total Employement",2014,6.01000439623049,"Extrapolated",6.0122396433286,99.0804906972909,"Coastal Employment [thousands]",0.00601000439623049
1,"Total Employement",2016,7.44161857738396,"Extrapolated",7.44385382448207,100.950322501374,"Coastal Employment [thousands]",0.00744161857738396
1,"Total Employement",2017,6.15303095661396,"Extrapolated",6.15526620371207,102.758144170279,"Coastal Employment [thousands]",0.00615303095661396
1,"Total Industry Output",2012,9982796.07281164,"Extrapolated",9982796.07281166,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.0126383537528149
1,"Total Industry Output",2015,7363809.60202924,"Extrapolated",7363809.60202926,100,"Coastal Industry Output [billion 2022$]",0.00892691456094563
1,"Total Industry Output",2018,7051886.77489975,"Extrapolated",7051886.77489977,105.112221863417,"Coastal Industry Output [billion 2022$]",0.00813300317097889
1,"Total Industry Output",2011,6545301.85098934,"Extrapolated",6545301.85098936,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.00844074752788359
1,"Total Industry Output",2013,9956591.47372196,"Extrapolated",9956591.47372198,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.0123942428267853
1,"Total Industry Output",2014,8437067.6001553,"Extrapolated",8437067.60015532,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.0103229115771736
1,"Total Industry Output",2016,7363518.83016057,"Extrapolated",7363518.83016059,100.950322501374,"Coastal Industry Output [billion 2022$]",0.00884252951964716
1,"Total Industry Output",2017,6890192.15714959,"Extrapolated",6890192.15714961,102.758144170279,"Coastal Industry Output [billion 2022$]",0.00812856548732107
2,"Total Industry Output",2018,14399112.6030526,"As recorded",14399112.6030526,105.112221863417,"Coastal Industry Output [billion 2022$]",0.0166066234751158
2,"Total Employement",2018,41.265005772,"As recorded",41.265005772,105.112221863417,"Coastal Employment [thousands]",0.041265005772
2,"Total Personal Income",2018,19546209.8188499,"As recorded",19546209.8188499,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0225428160592644
2,"Total Industry Output",2019,19223844.7165006,"As recorded",19223844.7165006,106.876538692045,"Coastal Industry Output [billion 2022$]",0.0218050304121485
2,"Total Employement",2019,51.293083794,"As recorded",51.293083794,106.876538692045,"Coastal Employment [thousands]",0.051293083794
2,"Total Personal Income",2019,26602300.5854316,"As recorded",26602300.5854316,106.876538692045,"Coastal Personal Income [billion 2022$]",0.0301741915757653
2,"Total Industry Output",2020,19254964.467528,"As recorded",19254964.467528,108.287966074286,"Coastal Industry Output [billion 2022$]",0.0215556613592049
2,"Total Employement",2020,55.942073386,"As recorded",55.942073386,108.287966074286,"Coastal Employment [thousands]",0.055942073386
2,"Total Personal Income",2020,20971679.129141,"As recorded",20971679.129141,108.287966074286,"Coastal Personal Income [billion 2022$]",0.0234774992290446
2,"Total Industry Output",2021,27769609.9173817,"As recorded",27769609.9173817,113.252692384595,"Coastal Industry Output [billion 2022$]",0.0297248773347487
2,"Total Employement",2021,65.038532004,"As recorded",65.038532004,113.252692384595,"Coastal Employment [thousands]",0.065038532004
2,"Total Personal Income",2021,12999406.3972497,"As recorded",12999406.3972497,113.252692384595,"Coastal Personal Income [billion 2022$]",0.0139146989004312
2,"Total Industry Output",2022,30255488.6186832,"As recorded",30255488.6186832,121.226851906731,"Coastal Industry Output [billion 2022$]",0.0302554886186832
2,"Total Employement",2022,55.043891981,"As recorded",55.043891981,121.226851906731,"Coastal Employment [thousands]",0.055043891981
2,"Total Personal Income",2022,11757657.0286868,"As recorded",11757657.0286868,121.226851906731,"Coastal Personal Income [billion 2022$]",0.0117576570286868
2,"Total Personal Income",2012,10096201.7146828,"Extrapolated",10096201.7146827,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.0127819268168221
2,"Total Personal Income",2015,17238958.8842568,"Extrapolated",17238958.8842567,100,"Coastal Personal Income [billion 2022$]",0.0208982471568803
2,"Total Personal Income",2018,19546209.8188499,"Extrapolated",19546209.8188497,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0225428160592644
2,"Total Personal Income",2011,6589396.47768548,"Extrapolated",6589396.47768536,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.00849761146170233
2,"Total Personal Income",2013,14563327.2676257,"Extrapolated",14563327.2676256,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.0181288360577299
2,"Total Personal Income",2014,18819317.1036193,"Extrapolated",18819317.1036192,99.0804906972909,"Coastal Personal Income [billion 2022$]",0.0230257899557278
2,"Total Personal Income",2016,11577356.1922085,"Extrapolated",11577356.1922084,100.950322501374,"Coastal Personal Income [billion 2022$]",0.013902743545621
2,"Total Personal Income",2017,21798834.1108319,"Extrapolated",21798834.1108318,102.758144170279,"Coastal Personal Income [billion 2022$]",0.0257167356984785
2,"Total Employement",2012,73.0891761472098,"Extrapolated",73.0914350160785,95.7547924993229,"Coastal Employment [thousands]",0.0730891761472098
2,"Total Employement",2015,45.8957318131583,"Extrapolated",45.8979906820271,100,"Coastal Employment [thousands]",0.0458957318131583
2,"Total Employement",2018,41.265005772,"Extrapolated",41.2672646408688,105.112221863417,"Coastal Employment [thousands]",0.041265005772
2,"Total Employement",2011,52.1969040966076,"Extrapolated",52.1991629654764,94.0042733837922,"Coastal Employment [thousands]",0.0521969040966076
2,"Total Employement",2013,53.6428387286629,"Extrapolated",53.6450975975317,97.3844273465615,"Coastal Employment [thousands]",0.0536428387286629
2,"Total Employement",2014,43.9649570218928,"Extrapolated",43.9672158907616,99.0804906972909,"Coastal Employment [thousands]",0.0439649570218928
2,"Total Employement",2016,50.2823533041113,"Extrapolated",50.2846121729801,100.950322501374,"Coastal Employment [thousands]",0.0502823533041113
2,"Total Employement",2017,44.9065054755989,"Extrapolated",44.9087643444676,102.758144170279,"Coastal Employment [thousands]",0.0449065054755989
2,"Total Industry Output",2012,24868294.7656416,"Extrapolated",24868294.7656417,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.0314835947949936
2,"Total Industry Output",2015,17038443.203169,"Extrapolated",17038443.203169,100,"Coastal Industry Output [billion 2022$]",0.0206551683091181
2,"Total Industry Output",2018,14399112.6030526,"Extrapolated",14399112.6030527,105.112221863417,"Coastal Industry Output [billion 2022$]",0.0166066234751158
2,"Total Industry Output",2011,17912057.8261845,"Extrapolated",17912057.8261845,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.0230991879760017
2,"Total Industry Output",2013,21626633.3937834,"Extrapolated",21626633.3937834,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.0269214365695185
2,"Total Industry Output",2014,19764472.9609315,"Extrapolated",19764472.9609316,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.0241822060002671
2,"Total Industry Output",2016,16558773.8797706,"Extrapolated",16558773.8797707,100.950322501374,"Coastal Industry Output [billion 2022$]",0.0198847114020134
2,"Total Industry Output",2017,16389348.6123914,"Extrapolated",16389348.6123914,102.758144170279,"Coastal Industry Output [billion 2022$]",0.0193350040828863
3,"Total Industry Output",2018,14462004.27,"As recorded",14462004.27,105.112221863417,"Coastal Industry Output [billion 2022$]",0.016679156988917
3,"Total Employement",2018,104.93,"As recorded",104.93,105.112221863417,"Coastal Employment [thousands]",0.10493
3,"Total Personal Income",2018,9853377.82,"As recorded",9853377.82,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0113639874849029
3,"Total Industry Output",2019,12610047.12,"As recorded",12610047.12,106.876538692045,"Coastal Industry Output [billion 2022$]",0.0143031981898093
3,"Total Employement",2019,83.66,"As recorded",83.66,106.876538692045,"Coastal Employment [thousands]",0.08366
3,"Total Personal Income",2019,14172757.94,"As recorded",14172757.94,106.876538692045,"Coastal Personal Income [billion 2022$]",0.0160757341969403
3,"Total Industry Output",2020,18905180.6,"As recorded",18905180.6,108.287966074286,"Coastal Industry Output [billion 2022$]",0.0211640832490473
3,"Total Employement",2020,122.8,"As recorded",122.8,108.287966074286,"Coastal Employment [thousands]",0.1228
3,"Total Personal Income",2020,14346220.74,"As recorded",14346220.74,108.287966074286,"Coastal Personal Income [billion 2022$]",0.0160603919356671
3,"Total Industry Output",2021,19024410.38,"As recorded",19024410.38,113.252692384595,"Coastal Industry Output [billion 2022$]",0.0203639254060051
3,"Total Employement",2021,89.64,"As recorded",89.64,113.252692384595,"Coastal Employment [thousands]",0.08964
3,"Total Personal Income",2021,7442032.98,"As recorded",7442032.98,113.252692384595,"Coastal Personal Income [billion 2022$]",0.00796602898311479
3,"Total Industry Output",2022,17689874.35,"As recorded",17689874.35,121.226851906731,"Coastal Industry Output [billion 2022$]",0.01768987435
3,"Total Employement",2022,64.69,"As recorded",64.69,121.226851906731,"Coastal Employment [thousands]",0.06469
3,"Total Personal Income",2022,11386745.96,"As recorded",11386745.96,121.226851906731,"Coastal Personal Income [billion 2022$]",0.01138674596
3,"Total Personal Income",2012,9689673.62112398,"Extrapolated",9689673.62112393,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.0122672567965813
3,"Total Personal Income",2015,9884165.42793051,"Extrapolated",9884165.42793046,100,"Coastal Personal Income [billion 2022$]",0.0119822625855336
3,"Total Personal Income",2018,9853377.82,"Extrapolated",9853377.81999995,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0113639874849029
3,"Total Personal Income",2011,8592645.92642073,"Extrapolated",8592645.92642069,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.0110809793822499
3,"Total Personal Income",2013,17085255.9777356,"Extrapolated",17085255.9777355,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.02126820327064
3,"Total Personal Income",2014,16953585.4285103,"Extrapolated",16953585.4285102,99.0804906972909,"Coastal Personal Income [billion 2022$]",0.0207430320092906
3,"Total Personal Income",2016,13094135.4752038,"Extrapolated",13094135.4752038,100.950322501374,"Coastal Personal Income [billion 2022$]",0.015724177821003
3,"Total Personal Income",2017,13718358.0573434,"Extrapolated",13718358.0573434,102.758144170279,"Coastal Personal Income [billion 2022$]",0.0161839567466817
3,"Total Employement",2012,128.689648151115,"Extrapolated",128.693583968094,95.7547924993229,"Coastal Employment [thousands]",0.128689648151115
3,"Total Employement",2015,91.1333478180977,"Extrapolated",91.1372836350766,100,"Coastal Employment [thousands]",0.0911333478180977
3,"Total Employement",2018,104.93,"Extrapolated",104.933935816979,105.112221863417,"Coastal Employment [thousands]",0.10493
3,"Total Employement",2011,93.7058326790707,"Extrapolated",93.7097684960495,94.0042733837922,"Coastal Employment [thousands]",0.0937058326790707
3,"Total Employement",2013,95.3264721244257,"Extrapolated",95.3304079414045,97.3844273465615,"Coastal Employment [thousands]",0.0953264721244257
3,"Total Employement",2014,92.9522009497662,"Extrapolated",92.956136766745,99.0804906972909,"Coastal Employment [thousands]",0.0929522009497662
3,"Total Employement",2016,193.082273047437,"Extrapolated",193.086208864416,100.950322501374,"Coastal Employment [thousands]",0.193082273047437
3,"Total Employement",2017,105.650019177827,"Extrapolated",105.653954994806,102.758144170279,"Coastal Employment [thousands]",0.105650019177827
3,"Total Industry Output",2012,20225947.3097941,"Extrapolated",20225947.3097942,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.0256063206362761
3,"Total Industry Output",2015,14159324.4598682,"Extrapolated",14159324.4598683,100,"Coastal Industry Output [billion 2022$]",0.017164903293958
3,"Total Industry Output",2018,14462004.27,"Extrapolated",14462004.2700001,105.112221863417,"Coastal Industry Output [billion 2022$]",0.016679156988917
3,"Total Industry Output",2011,16799953.0692719,"Extrapolated",16799953.069272,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.0216650302104223
3,"Total Industry Output",2013,17392727.49623,"Extrapolated",17392727.4962301,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.0216509523944339
3,"Total Industry Output",2014,17899852.0672461,"Extrapolated",17899852.0672462,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.0219008071158833
3,"Total Industry Output",2016,25426393.6521654,"Extrapolated",25426393.6521655,100.950322501374,"Coastal Industry Output [billion 2022$]",0.0305334503290106
3,"Total Industry Output",2017,15791026.7998195,"Extrapolated",15791026.7998196,102.758144170279,"Coastal Industry Output [billion 2022$]",0.0186291459696352
4,"Total Industry Output",2018,540727.57,"As recorded",540727.57,105.112221863417,"Coastal Industry Output [billion 2022$]",0.000623625872312482
4,"Total Employement",2018,4.71,"As recorded",4.71,105.112221863417,"Coastal Employment [thousands]",0.00471
4,"Total Personal Income",2018,442587.49,"As recorded",442587.49,105.112221863417,"Coastal Personal Income [billion 2022$]",0.000510440053067466
4,"Total Industry Output",2019,504078.7,"As recorded",504078.7,106.876538692045,"Coastal Industry Output [billion 2022$]",0.000571761348768173
4,"Total Employement",2019,4.29,"As recorded",4.29,106.876538692045,"Coastal Employment [thousands]",0.00429
4,"Total Personal Income",2019,660652.75,"As recorded",660652.75,106.876538692045,"Coastal Personal Income [billion 2022$]",0.000749358596995673
4,"Total Industry Output",2020,478286.6,"As recorded",478286.6,108.287966074286,"Coastal Industry Output [billion 2022$]",0.000535435108157804
4,"Total Employement",2020,4.21,"As recorded",4.21,108.287966074286,"Coastal Employment [thousands]",0.00421
4,"Total Personal Income",2020,496519.69,"As recorded",496519.69,108.287966074286,"Coastal Personal Income [billion 2022$]",0.000555846795451993
4,"Total Industry Output",2021,556977.8,"As recorded",556977.8,113.252692384595,"Coastal Industry Output [billion 2022$]",0.000596194791084024
4,"Total Employement",2021,3.4,"As recorded",3.4,113.252692384595,"Coastal Employment [thousands]",0.0034
4,"Total Personal Income",2021,272219.12,"As recorded",272219.12,113.252692384595,"Coastal Personal Income [billion 2022$]",0.000291386158258869
4,"Total Industry Output",2022,541678.27,"As recorded",541678.27,121.226851906731,"Coastal Industry Output [billion 2022$]",0.00054167827
4,"Total Employement",2022,2.27,"As recorded",2.27,121.226851906731,"Coastal Employment [thousands]",0.00227
4,"Total Personal Income",2022,522172.16,"As recorded",522172.16,121.226851906731,"Coastal Personal Income [billion 2022$]",0.00052217216
4,"Total Personal Income",2012,2.27009877562523e-09,"Extrapolated",0,95.7547924993229,"Coastal Personal Income [billion 2022$]",2.87397550455051e-18
4,"Total Personal Income",2015,709705.391493559,"Extrapolated",709705.391493557,100,"Coastal Personal Income [billion 2022$]",0.000860353503919983
4,"Total Personal Income",2018,442587.49,"Extrapolated",442587.489999998,105.112221863417,"Coastal Personal Income [billion 2022$]",0.000510440053067466
4,"Total Personal Income",2011,2.27009877562523e-09,"Extrapolated",0,94.0042733837922,"Coastal Personal Income [billion 2022$]",2.92749380618923e-18
4,"Total Personal Income",2013,938200.140390873,"Extrapolated",938200.140390871,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.00116789770784697
4,"Total Personal Income",2014,1120220.72251187,"Extrapolated",1120220.72251187,99.0804906972909,"Coastal Personal Income [billion 2022$]",0.00137061121392398
4,"Total Personal Income",2016,515814.119484125,"Extrapolated",515814.119484123,100.950322501374,"Coastal Personal Income [billion 2022$]",0.000619418743048115
4,"Total Personal Income",2017,1136186.92263992,"Extrapolated",1136186.92263992,102.758144170279,"Coastal Personal Income [billion 2022$]",0.00134039364880893
4,"Total Employement",2012,0.00293365326052708,"Extrapolated",0,95.7547924993229,"Coastal Employment [thousands]",2.93365326052708e-06
4,"Total Employement",2015,4.80919105328378,"Extrapolated",4.80625740002325,100,"Coastal Employment [thousands]",0.00480919105328378
4,"Total Employement",2018,4.71,"Extrapolated",4.70706634673947,105.112221863417,"Coastal Employment [thousands]",0.00471
4,"Total Employement",2011,0.00293365326052708,"Extrapolated",0,94.0042733837922,"Coastal Employment [thousands]",2.93365326052708e-06
4,"Total Employement",2013,4.10679450009415,"Extrapolated",4.10386084683362,97.3844273465615,"Coastal Employment [thousands]",0.00410679450009415
4,"Total Employement",2014,3.67122714145462,"Extrapolated",3.66829348819409,99.0804906972909,"Coastal Employment [thousands]",0.00367122714145462
4,"Total Employement",2016,6.54134185600189,"Extrapolated",6.53840820274136,100.950322501374,"Coastal Employment [thousands]",0.00654134185600189
4,"Total Employement",2017,7.45212687791014,"Extrapolated",7.44919322464962,102.758144170279,"Coastal Employment [thousands]",0.00745212687791014
4,"Total Industry Output",2012,-8.14907252788544e-10,"Extrapolated",0,95.7547924993229,"Coastal Industry Output [billion 2022$]",-1.03168351445403e-18
4,"Total Industry Output",2015,759332.82327832,"Extrapolated",759332.823278321,100,"Coastal Industry Output [billion 2022$]",0.000920515277154808
4,"Total Industry Output",2018,540727.57,"Extrapolated",540727.570000001,105.112221863417,"Coastal Industry Output [billion 2022$]",0.000623625872312482
4,"Total Industry Output",2011,-8.14907252788544e-10,"Extrapolated",0,94.0042733837922,"Coastal Industry Output [billion 2022$]",-1.05089521247819e-18
